No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
1,2013,3,1,0,9,9,3,17,300,89,-0.5,1024.5,-21.4,0,NNW,5.7
2,2013,3,1,1,4,4,3,16,300,88,-0.7,1025.1,-22.1,0,NW,3.9
3,2013,3,1,2,7,7,NA,17,300,60,-1.2,1025.3,-24.6,0,NNW,5.3
4,2013,3,1,3,3,3,5,18,NA,NA,-1.4,1026.2,-25.5,0,N,4.9
5,2013,3,1,4,3,3,7,NA,200,84,-1.9,1027.1,-24.5,0,NNW,3.2
6,2013,3,1,5,4,4,9,25,300,78,-2.4,1027.5,-21.3,0,NW,2.4
7,2013,3,1,6,5,5,10,29,400,67,-2.5,1028.2,-20.4,0,NW,2.2
8,2013,3,1,7,3,6,12,40,400,52,-1.4,1029.5,-20.4,0,NNW,3
9,2013,3,1,8,3,6,12,41,500,54,-0.3,1030.4,-21.2,0,NW,4.6
10,2013,3,1,9,3,6,9,31,400,69,0.4,1030.5,-23.3,0,N,5.5
11,2013,3,1,10,3,6,7,19,300,82,1.4,1030.2,-22.5,0,N,5.2
12,2013,3,1,11,6,6,7,19,400,83,2.9,1029.8,-22.9,0,NNW,5.3
13,2013,3,1,12,3,6,6,18,300,86,4,1028.6,-21.2,0,W,4.6
14,2013,3,1,13,3,6,5,16,300,91,5,1027.8,-21.2,0,NW,4.5
15,2013,3,1,14,3,6,5,16,300,92,6.2,1027.6,-22.2,0,NW,4
16,2013,3,1,15,3,10,5,17,300,92,6,1027.7,-21.3,0,NNW,2.1
17,2013,3,1,16,9,17,6,19,300,91,5.6,1027.7,-20.7,0,N,1.8
18,2013,3,1,17,9,22,9,21,400,87,4.4,1028.2,-20.9,0,N,3.5
19,2013,3,1,18,11,23,8,28,400,79,3.2,1029.4,-20.3,0,NNW,0.5
20,2013,3,1,19,13,17,12,42,600,63,3,1030.1,-19.7,0,N,1.1
21,2013,3,1,20,5,13,9,38,500,64,1.6,1031.3,-19,0,ENE,1.2
22,2013,3,1,21,15,17,13,51,600,48,0.8,1032.4,-19.7,0,NE,1
23,2013,3,1,22,19,21,17,60,700,36,0.1,1032.9,-19.2,0,ENE,1.8
24,2013,3,1,23,8,14,16,58,600,39,-0.5,1032.8,-19.7,0,NE,2.1
25,2013,3,2,0,4,11,11,45,500,52,-0.7,1033,-18.3,0,E,0.6
26,2013,3,2,1,3,6,11,43,500,53,-1.6,1033.2,-17.4,0,ENE,0
27,2013,3,2,2,3,6,10,36,400,61,-2.2,1032.9,-16.7,0,N,0
28,2013,3,2,3,3,6,11,41,500,46,-3.1,1032.6,-15.8,0,N,0
29,2013,3,2,4,3,6,9,31,400,60,-3.1,1032.7,-16.1,0,N,0
30,2013,3,2,5,9,9,10,32,500,62,-2.4,1032.1,-18.1,0,NNE,0.8
31,2013,3,2,6,3,6,15,59,600,30,-2.3,1031.3,-18.4,0,N,1.5
32,2013,3,2,7,13,13,14,45,600,47,-1.9,1031.9,-18.5,0,N,1.4
33,2013,3,2,8,3,6,19,48,600,43,-0.9,1031.7,-18,0,NNE,1.6
34,2013,3,2,9,3,6,24,49,500,44,0.1,1031.7,-18.1,0,NE,0.5
35,2013,3,2,10,3,7,24,55,600,36,1.5,1031.2,-18,0,ENE,0.6
36,2013,3,2,11,4,14,18,54,700,34,2.6,1030.2,-18.2,0,SW,3.1
37,2013,3,2,12,17,22,18,61,1100,32,3.8,1029,-17.8,0,SSW,1.1
38,2013,3,2,13,23,29,19,54,800,39,3.8,1027.6,-17.8,0,S,1
39,2013,3,2,14,32,34,18,48,700,47,3.9,1026.8,-18.3,0,SSW,0.4
40,2013,3,2,15,35,37,25,49,900,49,4.3,1026.2,-18,0,SSW,1.5
41,2013,3,2,16,42,52,43,60,1300,41,4.1,1025.4,-16.9,0,SSW,1.9
42,2013,3,2,17,54,69,41,62,1100,40,3.2,1025.3,-16,0,WSW,1.3
43,2013,3,2,18,56,82,43,63,1100,37,2.2,1025.4,-15.8,0,NE,0.4
44,2013,3,2,19,63,92,45,72,1200,27,1.6,1025,-15.4,0,N,0.1
45,2013,3,2,20,71,98,46,80,1899,17,0.7,1025,-15.3,0,N,1
46,2013,3,2,21,79,111,61,95,1800,6,0.5,1024.8,-15.1,0,N,0.2
47,2013,3,2,22,98,121,71,112,2299,2,-1,1024.2,-14.6,0,ENE,0
48,2013,3,2,23,108,131,73,110,2600,2,-1.3,1023.2,-14.5,0,N,0
49,2013,3,3,0,115,141,70,111,2700,2,-2.2,1022.3,-12.8,0,N,0
50,2013,3,3,1,127,152,65,109,2600,2,-1.8,1021.4,-13.3,0,W,0.7
51,2013,3,3,2,132,151,64,107,2399,2,-2.4,1020.4,-13.3,0,E,1.3
52,2013,3,3,3,124,133,83,104,2399,2,-3.3,1019.4,-12.5,0,ESE,1.2
53,2013,3,3,4,112,118,92,105,2399,2,-4.2,1019,-12.6,0,E,0.1
54,2013,3,3,5,101,107,74,99,2299,2,-5.2,1018.5,-11.6,0,NE,0.9
55,2013,3,3,6,88,105,80,94,2500,2,-5.4,1018.3,-11.3,0,ENE,0
56,2013,3,3,7,98,113,82,100,2899,2,-3.3,1018.6,-9.8,0,N,0.1
57,2013,3,3,8,97,124,79,95,2799,2,1.2,1018.1,-13.7,0,N,0.8
58,2013,3,3,9,95,115,102,95,2399,3,4,1017.6,-13.4,0,SE,0.6
59,2013,3,3,10,91,112,102,98,2200,10,6.8,1016.7,-13.5,0,SSW,1.1
60,2013,3,3,11,98,123,83,104,2500,14,9.5,1015.6,-13.7,0,W,0.5
61,2013,3,3,12,107,134,70,111,2600,17,13.4,1014.4,-13.6,0,WNW,1.8
62,2013,3,3,13,114,130,43,85,1800,38,15.5,1013,-13.8,0,NW,4
63,2013,3,3,14,81,104,19,46,1000,68,16.4,1012.4,-15.4,0,W,7
64,2013,3,3,15,49,80,7,17,500,94,16.6,1012,-15.2,0,WNW,4.7
65,2013,3,3,16,28,66,14,33,700,82,15.8,1012.2,-14.7,0,ENE,1.3
66,2013,3,3,17,41,106,24,60,1000,67,12.6,1013,-13.4,0,SSW,1.3
67,2013,3,3,18,58,106,26,74,1200,50,9.9,1014.1,-10.3,0,WNW,1
68,2013,3,3,19,87,212,58,127,2000,17,6.8,1014.9,-9.6,0,W,0
69,2013,3,3,20,142,274,56,136,2299,4,5.2,1015.2,-8.3,0,W,0
70,2013,3,3,21,152,202,45,122,2399,2,4,1015.4,-9.1,0,N,0.2
71,2013,3,3,22,143,149,29,107,2299,2,2.7,1015.8,-8.4,0,WNW,0.4
72,2013,3,3,23,80,101,32,104,3299,2,7.1,1016.7,-12.2,0,N,0.4
73,2013,3,4,0,68,110,46,109,4000,3,9.9,1017.5,-14.1,0,N,4.9
