No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
1,2013,3,1,0,3,6,3,8,300,44,-0.9,1025.8,-20.5,0,NW,9.3
2,2013,3,1,1,12,12,3,7,300,47,-1.1,1026.1,-21.3,0,NW,9.4
3,2013,3,1,2,14,14,NA,7,200,22,-1.7,1026.2,-23,0,NW,8.6
4,2013,3,1,3,12,12,3,5,NA,NA,-2.1,1027.3,-23.3,0,NW,6.6
5,2013,3,1,4,12,12,3,NA,200,11,-2.4,1027.7,-22.9,0,NW,4.5
6,2013,3,1,5,11,11,3,7,200,45,-2.8,1028.2,-22.1,0,NNW,1.7
7,2013,3,1,6,12,12,3,9,300,74,-4,1029,-21.2,0,NNE,1.6
8,2013,3,1,7,13,13,3,23,300,59,-2.4,1030.5,-21.3,0,NE,1.7
9,2013,3,1,8,8,8,3,19,400,66,-1,1031.2,-21.8,0,NNW,2.7
10,2013,3,1,9,3,6,3,21,400,60,0,1031.3,-22.9,0,SSW,0.8
11,2013,3,1,10,3,6,3,22,400,64,0.7,1031.3,-21.6,0,NNW,2.5
12,2013,3,1,11,6,6,3,16,300,67,1.7,1030.9,-21.5,0,NNW,1.4
13,2013,3,1,12,8,8,3,12,300,64,2.8,1030.1,-20.6,0,NE,2.1
14,2013,3,1,13,5,5,3,9,300,74,3.7,1028.9,-20.6,0,NE,2.1
15,2013,3,1,14,5,5,3,10,400,73,4.6,1028.6,-20.7,0,ENE,3.4
16,2013,3,1,15,8,8,3,11,400,75,5.2,1028.5,-20.2,0,NE,2.6
17,2013,3,1,16,7,7,3,12,400,73,4.9,1028.6,-20.4,0,NNE,1
18,2013,3,1,17,10,10,3,12,400,78,4.1,1029,-19.5,0,NNW,2
19,2013,3,1,18,3,6,3,18,400,76,2.3,1030.1,-17.3,0,NW,0.6
20,2013,3,1,19,3,8,3,21,400,71,1.6,1030.9,-19,0,N,1.9
21,2013,3,1,20,13,13,3,17,500,70,0.6,1031.9,-18.7,0,NE,2
22,2013,3,1,21,9,14,3,14,500,72,0.2,1032.8,-18.5,0,ENE,2.5
23,2013,3,1,22,5,11,3,11,400,74,-0.3,1033.4,-18.5,0,ENE,2.2
24,2013,3,1,23,9,11,3,8,400,78,-0.7,1033.1,-17.9,0,NE,2.8
25,2013,3,2,0,5,7,3,8,300,78,-1,1033,-18.1,0,NE,3.2
26,2013,3,2,1,3,6,3,8,300,76,-1.5,1033.7,-18.1,0,E,1
27,2013,3,2,2,4,4,3,8,300,77,-1.6,1033.3,-18.2,0,NE,2.1
28,2013,3,2,3,8,8,3,8,300,77,-2,1033,-18.1,0,NNE,1.4
29,2013,3,2,4,6,6,3,8,300,78,-2.5,1033,-17.7,0,N,1.7
30,2013,3,2,5,6,6,9,31,500,52,-3.1,1032.6,-17.1,0,N,0.7
31,2013,3,2,6,4,6,13,33,700,45,-2.8,1031.8,-17.2,0,NNW,0.9
32,2013,3,2,7,13,NA,12,31,700,49,-2.7,1032.3,-16.4,0,N,1.3
33,2013,3,2,8,12,12,8,31,500,48,-1.5,1032.3,-16.5,0,N,1.6
34,2013,3,2,9,12,10,20,54,800,25,-0.4,1032.2,-16.7,0,NW,1.7
35,2013,3,2,10,26,35,18,39,700,42,0.7,1031.8,-17.1,0,SW,0.5
36,2013,3,2,11,18,32,15,26,600,56,1.6,1031.2,-16.8,0,SSW,1.6
37,2013,3,2,12,19,22,17,45,600,37,2.1,1030.1,-16.9,0,SW,1.1
38,2013,3,2,13,12,14,15,60,800,34,2.8,1028.5,-16.3,0,NE,1
39,2013,3,2,14,18,23,21,67,1000,27,3.1,1027.7,-16.6,0,N,1.2
40,2013,3,2,15,32,34,22,66,1100,30,3.2,1026.9,-16,0,NE,0.5
41,2013,3,2,16,43,47,24,68,1100,30,3.1,1026.4,-15.6,0,N,1.8
42,2013,3,2,17,49,55,23,61,1000,37,2.2,1026.1,-15.4,0,ENE,1.4
43,2013,3,2,18,38,51,23,61,1000,34,1.7,1026.1,-14.9,0,ENE,1.5
44,2013,3,2,19,52,54,26,76,1200,18,1.1,1025.7,-14.6,0,ENE,1.3
45,2013,3,2,20,69,82,35,87,1700,8,0.7,1025.6,-14.5,0,NE,1.4
46,2013,3,2,21,96,104,53,90,2000,4,-0.1,1025.3,-13.8,0,ENE,0.8
